Address_Index,Input_Z_Sample,Output_Tanh,LUT_Value_Q1_7_8
222,-2.82991202,-0.99305792,-254
223,-2.82013685,-0.99292135,-254
224,-2.81036168,-0.99278210,-254
225,-2.80058651,-0.99264013,-254
226,-2.79081134,-0.99249537,-254
227,-2.78103617,-0.99234777,-254
228,-2.77126100,-0.99219729,-254
229,-2.76148583,-0.99204385,-254
230,-2.75171065,-0.99188741,-254
231,-2.74193548,-0.99172791,-254
232,-2.73216031,-0.99156529,-254
233,-2.72238514,-0.99139948,-254
234,-2.71260997,-0.99123043,-254
235,-2.70283480,-0.99105807,-254
236,-2.69305963,-0.99088233,-254
237,-2.68328446,-0.99070316,-254
238,-2.67350929,-0.99052049,-254
239,-2.66373412,-0.99033424,-254
240,-2.65395894,-0.99014435,-253
241,-2.64418377,-0.98995075,-253
242,-2.63440860,-0.98975337,-253
243,-2.62463343,-0.98955213,-253
244,-2.61485826,-0.98934696,-253
245,-2.60508309,-0.98913778,-253
246,-2.59530792,-0.98892452,-253
247,-2.58553275,-0.98870710,-253
248,-2.57575758,-0.98848543,-253
249,-2.56598240,-0.98825943,-253
250,-2.55620723,-0.98802903,-253
251,-2.54643206,-0.98779413,-253
252,-2.53665689,-0.98755466,-253
253,-2.52688172,-0.98731051,-253
254,-2.51710655,-0.98706161,-253
255,-2.50733138,-0.98680785,-253
256,-2.49755621,-0.98654916,-253
257,-2.48778104,-0.98628542,-252
258,-2.47800587,-0.98601655,-252
259,-2.46823069,-0.98574245,-252
260,-2.45845552,-0.98546301,-252
261,-2.44868035,-0.98517814,-252
262,-2.43890518,-0.98488773,-252
263,-2.42913001,-0.98459167,-252
264,-2.41935484,-0.98428985,-252
265,-2.40957967,-0.98398218,-252
266,-2.39980450,-0.98366853,-252
267,-2.39002933,-0.98334878,-252
268,-2.38025415,-0.98302283,-252
269,-2.37047898,-0.98269056,-252
270,-2.36070381,-0.98235184,-251
271,-2.35092864,-0.98200655,-251
272,-2.34115347,-0.98165457,-251
273,-2.33137830,-0.98129577,-251
274,-2.32160313,-0.98093002,-251
275,-2.31182796,-0.98055719,-251
276,-2.30205279,-0.98017714,-251
277,-2.29227761,-0.97978973,-251
278,-2.28250244,-0.97939484,-251
279,-2.27272727,-0.97899231,-251
280,-2.26295210,-0.97858200,-251
281,-2.25317693,-0.97816377,-250
282,-2.24340176,-0.97773746,-250
283,-2.23362659,-0.97730293,-250
284,-2.22385142,-0.97686001,-250
285,-2.21407625,-0.97640856,-250
286,-2.20430108,-0.97594840,-250
287,-2.19452590,-0.97547938,-250
288,-2.18475073,-0.97500132,-250
289,-2.17497556,-0.97451407,-249
290,-2.16520039,-0.97401745,-249
291,-2.15542522,-0.97351128,-249
292,-2.14565005,-0.97299538,-249
293,-2.13587488,-0.97246957,-249
294,-2.12609971,-0.97193367,-249
295,-2.11632454,-0.97138750,-249
296,-2.10654936,-0.97083085,-249
297,-2.09677419,-0.97026353,-248
298,-2.08699902,-0.96968535,-248
299,-2.07722385,-0.96909611,-248
300,-2.06744868,-0.96849559,-248
301,-2.05767351,-0.96788360,-248
302,-2.04789834,-0.96725991,-248
303,-2.03812317,-0.96662432,-247
304,-2.02834800,-0.96597660,-247
305,-2.01857283,-0.96531654,-247
306,-2.00879765,-0.96464390,-247
307,-1.99902248,-0.96395845,-247
308,-1.98924731,-0.96325997,-247
309,-1.97947214,-0.96254820,-246
310,-1.96969697,-0.96182292,-246
311,-1.95992180,-0.96108386,-246
312,-1.95014663,-0.96033079,-246
313,-1.94037146,-0.95956345,-246
314,-1.93059629,-0.95878158,-245
315,-1.92082111,-0.95798491,-245
316,-1.91104594,-0.95717318,-245
317,-1.90127077,-0.95634612,-245
318,-1.89149560,-0.95550345,-245
319,-1.88172043,-0.95464489,-244
320,-1.87194526,-0.95377015,-244
321,-1.86217009,-0.95287895,-244
322,-1.85239492,-0.95197100,-244
323,-1.84261975,-0.95104598,-243
324,-1.83284457,-0.95010361,-243
325,-1.82306940,-0.94914357,-243
326,-1.81329423,-0.94816555,-243
327,-1.80351906,-0.94716923,-242
328,-1.79374389,-0.94615429,-242
329,-1.78396872,-0.94512040,-242
330,-1.77419355,-0.94406723,-242
331,-1.76441838,-0.94299444,-241
332,-1.75464321,-0.94190169,-241
333,-1.74486804,-0.94078863,-241
334,-1.73509286,-0.93965491,-241
335,-1.72531769,-0.93850017,-240
336,-1.71554252,-0.93732404,-240
337,-1.70576735,-0.93612617,-240
338,-1.69599218,-0.93490617,-239
339,-1.68621701,-0.93366367,-239
340,-1.67644184,-0.93239828,-239
341,-1.66666667,-0.93110961,-238
342,-1.65689150,-0.92979727,-238
343,-1.64711632,-0.92846085,-238
344,-1.63734115,-0.92709996,-237
345,-1.62756598,-0.92571417,-237
346,-1.61779081,-0.92430308,-237
347,-1.60801564,-0.92286625,-236
348,-1.59824047,-0.92140327,-236
349,-1.58846530,-0.91991369,-235
350,-1.57869013,-0.91839708,-235
351,-1.56891496,-0.91685300,-235
352,-1.55913978,-0.91528099,-234
353,-1.54936461,-0.91368059,-234
354,-1.53958944,-0.91205135,-233
355,-1.52981427,-0.91039281,-233
356,-1.52003910,-0.90870447,-233
357,-1.51026393,-0.90698588,-232
358,-1.50048876,-0.90523654,-232
359,-1.49071359,-0.90345596,-231
360,-1.48093842,-0.90164366,-231
361,-1.47116325,-0.89979912,-230
362,-1.46138807,-0.89792185,-230
363,-1.45161290,-0.89601134,-229
364,-1.44183773,-0.89406706,-229
365,-1.43206256,-0.89208850,-228
366,-1.42228739,-0.89007514,-228
367,-1.41251222,-0.88802643,-227
368,-1.40273705,-0.88594184,-227
369,-1.39296188,-0.88382083,-226
370,-1.38318671,-0.88166285,-226
371,-1.37341153,-0.87946736,-225
372,-1.36363636,-0.87723379,-225
373,-1.35386119,-0.87496158,-224
374,-1.34408602,-0.87265017,-223
375,-1.33431085,-0.87029899,-223
376,-1.32453568,-0.86790746,-222
377,-1.31476051,-0.86547501,-222
378,-1.30498534,-0.86300105,-221
379,-1.29521017,-0.86048500,-220
380,-1.28543500,-0.85792626,-220
381,-1.27565982,-0.85532424,-219
382,-1.26588465,-0.85267835,-218
383,-1.25610948,-0.84998798,-218
384,-1.24633431,-0.84725252,-217
385,-1.23655914,-0.84447139,-216
386,-1.22678397,-0.84164395,-215
387,-1.21700880,-0.83876961,-215
388,-1.20723363,-0.83584774,-214
389,-1.19745846,-0.83287774,-213
390,-1.18768328,-0.82985898,-212
391,-1.17790811,-0.82679085,-212
392,-1.16813294,-0.82367272,-211
393,-1.15835777,-0.82050397,-210
394,-1.14858260,-0.81728398,-209
395,-1.13880743,-0.81401213,-208
396,-1.12903226,-0.81068779,-208
397,-1.11925709,-0.80731035,-207
398,-1.10948192,-0.80387918,-206
